,0,1000,2000,3000,4000,5000,6000,7000,8000,9000
0,127087.2,151339.64,200432.28,298324.9,462743.25,709901.75,1085539.8,1616337.5,2324252.5,3245960.5
1,67347.14,84415.38,112192.35,161064.56,245440.66,384113.3,606357.7,909512.44,1304777.6,1792622.8
2,21066.246,27049.342,40742.754,61827.773,84002.82,106805.086,134574.69,175584.84,232600.56,306902.03
3,10433.964,11254.586,20299.0,32282.02,48685.53,70914.44,101901.836,138286.12,174689.34,212232.31
4,5867.0386,6251.0884,11008.063,20612.846,36722.21,59871.617,83939.94,110212.6,138518.62,173258.19
5,4507.7207,3268.3484,5380.599,9581.657,14775.372,25007.656,37591.914,60832.96,86473.56,125722.64
6,2155.2908,3424.403,4259.35,6130.48,10666.924,17753.164,28701.037,46341.45,70745.04,104409.91
7,1745.4785,1927.3984,3226.765,5569.0044,8931.292,15780.479,26329.426,41395.86,59072.832,79280.59
8,1442.8593,1523.2487,1991.9767,3226.8706,7440.61,14247.845,22483.602,32668.846,44931.16,58298.2
9,933.0732,860.3789,1184.6532,1988.2164,2795.3462,4525.252,7465.725,12293.033,18417.707,26653.816
10,865.1646,669.6767,696.23944,1190.7837,1495.9816,2562.0186,4303.3965,7759.1704,14153.819,22047.256
11,758.76196,454.46796,653.5613,1167.1986,1391.2886,2278.1277,2867.7285,2715.1265,3278.026,4192.8364
12,528.3625,354.99664,615.9868,933.9144,1024.0731,1032.2203,1195.2128,2102.541,2384.1602,2719.7957
13,461.47638,320.51886,373.8619,604.8052,800.2344,921.16187,1017.0567,1577.3549,1612.6954,2003.5773
14,396.68018,280.37323,332.75525,463.75134,619.7566,852.95776,935.8505,1188.13,1285.2446,1714.1948
15,332.17072,228.04921,262.91373,349.86108,511.4878,633.70856,836.7166,1126.912,1192.9275,1594.9465
16,306.42508,199.0529,235.65265,310.842,409.95398,527.14294,760.89575,953.0383,1119.8451,1357.0535
17,256.53424,169.16548,212.27101,276.15347,346.15717,477.96075,631.6828,779.814,995.47943,1294.2915
18,223.43053,162.8397,191.46246,255.51888,316.9693,461.49936,603.19635,704.445,936.48676,924.1169
19,206.61488,144.3284,161.31935,198.74954,304.4739,447.87787,538.3393,658.1665,765.59717,822.8031
20,187.80202,133.41902,155.46234,192.27153,287.3976,427.45016,535.47473,543.0426,670.6935,725.3955
21,174.62025,110.91305,138.06815,179.78603,273.42407,373.04358,479.26624,501.15482,584.2284,668.6061
22,151.6599,109.46865,122.228874,166.52089,248.97401,320.30444,420.83682,461.56375,518.6078,590.6276
23,138.82748,96.77902,108.22072,149.42294,221.37497,301.85535,409.38065,411.34003,498.9843,491.32495
24,128.02301,84.77792,104.90232,141.50256,188.9734,278.64917,379.74603,397.18994,453.0917,427.6293
25,117.06447,83.66311,95.73043,123.57348,167.60596,254.28345,358.3816,318.8246,421.76117,395.03116
26,100.910576,74.256256,86.82712,117.63491,166.31038,228.44032,338.5558,302.7637,362.53714,334.30133
27,92.54426,67.01604,84.354614,109.08418,145.32652,208.58574,308.0336,287.39825,354.115,310.15634
28,81.86089,63.876774,69.05673,100.58734,142.66815,197.78755,262.75516,250.86684,328.3398,260.58322
29,78.46627,60.168488,65.488075,93.65541,134.65753,185.65251,239.94554,241.36826,233.99266,232.20581
30,75.86398,54.714584,64.08765,88.38681,119.94573,163.74272,247.5106,202.53363,205.0956,203.2191
31,72.01875,51.092472,60.50364,79.32371,111.23844,143.35327,197.35332,223.31912,220.10928,190.75264
32,68.508194,48.903618,56.32859,71.65853,93.486336,137.38065,190.93445,197.25273,152.31816,174.77274
33,63.20147,45.804024,52.778873,63.654587,87.8285,124.34951,180.59775,176.2691,133.52568,146.41727
34,55.00054,43.39844,44.37575,57.35996,83.10811,114.413605,162.46324,162.35593,118.717186,118.059456
